year,nivel,grupo_natural,sup_sembrada,produccion
2000,grupo_natural,Hortalizas,3370,41833
2000,grupo_natural,Industriales,848,4652
2000,grupo_natural,Legumbres secas,23634,6539
2000,grupo_natural,Ornamentos,704,4596
2000,total,TODOS,170396,891960
2001,grupo_natural,Cereales,123156,299261
2001,grupo_natural,Forrajes,18825,679130
2001,grupo_natural,Frutales,1943,5971
2001,grupo_natural,Hortalizas,3739,50639
2001,grupo_natural,Industriales,788,3189
2001,grupo_natural,Legumbres secas,24326,10505
2001,grupo_natural,Ornamentos,220,2254
2001,grupo_natural,Tuberculos,1,0
2001,total,TODOS,172998,1050949
2002,grupo_natural,Cereales,118390,331201
2002,grupo_natural,Forrajes,19335,782542
2002,grupo_natural,Frutales,1983,5772
2002,grupo_natural,Hortalizas,4949,76235
2002,grupo_natural,Industriales,1146,17830
2002,grupo_natural,Legumbres secas,24194,12674
2002,total,TODOS,169997,1226254
2003,grupo_natural,Cereales,113331,303365
2003,grupo_natural,Forrajes,21038,809658
2003,grupo_natural,Frutales,2372,10599
2003,grupo_natural,Hortalizas,4238,75107
2003,grupo_natural,Industriales,501,250
2003,grupo_natural,Legumbres secas,26331,18690
2003,total,TODOS,167811,1217669
2004,grupo_natural,Cereales,118079,318441
2004,grupo_natural,Forrajes,20755,775510
2004,grupo_natural,Frutales,2446,10799
2004,grupo_natural,Hortalizas,4102,84300
2004,grupo_natural,Industriales,618,6936
2004,grupo_natural,Legumbres secas,19961,8337
2004,total,TODOS,165961,1204323
2005,grupo_natural,Cereales,109328,212837
2005,grupo_natural,Forrajes,26435,874032
2005,grupo_natural,Frutales,2130,8772
2005,grupo_natural,Hortalizas,3060,54385
2005,grupo_natural,Industriales,368,606
2005,grupo_natural,Legumbres secas,18088,4374
2005,grupo_natural,Oleaginosas,6,11
2005,grupo_natural,Tuberculos,3,21
2005,total,TODOS,159418,1155038
2006,grupo_natural,Cereales,108446,196741
2006,grupo_natural,Forrajes,24183,961148
2006,grupo_natural,Frutales,2112,7898
2006,grupo_natural,Hortalizas,3457,74879
2006,grupo_natural,Industriales,368,1756
2006,grupo_natural,Legumbres secas,17072,5860
2006,grupo_natural,Oleaginosas,273,478
2006,grupo_natural,Tuberculos,3,18
2006,total,TODOS,155914,1248778
2007,grupo_natural,Cereales,119350,384300
2007,grupo_natural,Forrajes,29995,1430839
2007,grupo_natural,Frutales,2142,7643
2007,grupo_natural,Hortalizas,3524,79276
2007,grupo_natural,Industriales,334,2690
2007,grupo_natural,Legumbres secas,17037,6896
2007,grupo_natural,Oleaginosas,5,9
2007,grupo_natural,Tuberculos,3,20
2007,total,TODOS,172390,1911673
2008,grupo_natural,Cereales,115443,321292
2008,grupo_natural,Forrajes,30251,1492588
2008,grupo_natural,Frutales,2366,8170
2008,grupo_natural,Hortalizas,3848,88891
2008,grupo_natural,Industriales,343,2796
2008,grupo_natural,Legumbres secas,17884,15246
2008,grupo_natural,Oleaginosas,4,6
2008,grupo_natural,Tuberculos,49,1600
2008,total,TODOS,170188,1930589
2009,grupo_natural,Cereales,115783,226838
2009,grupo_natural,Forrajes,29764,1457088
2009,grupo_natural,Frutales,2362,7360
2009,grupo_natural,Hortalizas,3378,77354
2009,grupo_natural,Industriales,337,1774
2009,grupo_natural,Legumbres secas,17010,5080
2009,grupo_natural,Tuberculos,4,26
2009,total,TODOS,168638,1775520
2010,grupo_natural,Cereales,123725,308033
2010,grupo_natural,Forrajes,30898,1517631
2010,grupo_natural,Frutales,2396,9103
2010,grupo_natural,Hortalizas,4565,108314
2010,grupo_natural,Industriales,407,5939
2010,grupo_natural,Legumbres secas,16788,7144
2010,grupo_natural,Oleaginosas,4,7
2010,grupo_natural,Tuberculos,3,16
2010,total,TODOS,178786,1956187
2011,grupo_natural,Cereales,117646,196610
2011,grupo_natural,Forrajes,28732,1512982
2011,grupo_natural,Frutales,2391,8708
2011,grupo_natural,Hortalizas,5133,119213
2011,grupo_natural,Industriales,463,2180
2011,grupo_natural,Legumbres secas,14587,3247
2011,grupo_natural,Oleaginosas,4,7
2011,grupo_natural,Tuberculos,4,22
2011,total,TODOS,168960,1842969
2012,grupo_natural,Cereales,119719,306417
2012,grupo_natural,Forrajes,28164,1553170
2012,grupo_natural,Frutales,2261,8318
2012,grupo_natural,Hortalizas,5484,135597
2012,grupo_natural,Industriales,1105,1706
2012,grupo_natural,Legumbres secas,12922,6370
2012,grupo_natural,Oleaginosas,25,22
2012,grupo_natural,Ornamentos,105,1433
2012,grupo_natural,Tuberculos,3,15
2012,total,TODOS,169788,2013048
2013,grupo_natural,Cereales,115606,314231
2013,grupo_natural,Forrajes,29952,1676443
2013,grupo_natural,Frutales,2182,8419
2013,grupo_natural,Hortalizas,5570,158174
